ID	Sex	Age_Days	Trial	Condition	Con_Object	Con_SocInt	Dyad	Overall_LT_ScreenFam	Overall_LT_ScreenPrefLook	Inter_PropOverall_LT_Screen	InterPhase_LT_Soc_Begin	InterPhase_LT_Soc_End	InterPhase_LT_Soc_Total	InterPhase_LT_Gazing	Inter_LT_ActorLeft	Inter_LT_ActorRight	Inter_LT_ActorsTotal	Inter_LT_Actors_PROP	Inter_LT_FaceLeft	Inter_LT_FaceRight	Inter_LT_FacesTotal	Inter_LT_Faces_PROP	Inter_LT_Object	Inter_LT_FacesObject_PROP	Inter_LT_Object_PROP	InterPhase_LT_FaceLeft_Soc_Begin	InterPhase_LT_FaceRight_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin_PROP	InterPhase_LT_FaceLeft_Soc_End	InterPhase_LT_FaceRight_Soc_End	InterPhase_LT_FaceTotal_Soc_End	InterPhase_LT_FaceTotal_Soc_End_PROP	InterPhase_LT_FaceLeft_Soc_Total	InterPhase_LT_FaceRight_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total_PROP	InterPhase_LT_Object_Soc_Begin	InterPhase_LT_Object_Soc_Begin_PROP	InterPhase_LT_Object_Soc_End	InterPhase_LT_Object_Soc_End_PROP	InterPhase_LT_Object_Soc_Total	InterPhase_LT_Object_Soc_Total_PROP	InterPhase_LT_FaceLeft_Gazing	InterPhase_LT_FaceRight_Gazing	InterPhase_LT_FaceTotal_Gazing	InterPhase_LT_FaceTotal_Gazing_PROP	InterPhase_LT_Object_Gazing	InterPhase_LT_Object_Gazing_PROP	InterPhase_Checker_Soc	InterPhase_Checker_Gazing	InterPhase_Checker_valid	PrefLook_Object_Fam	PrefLook_Object_Fam_Pos	PrefLook_Object_Nov	PrefLook_Object_Nov_Pos	PrefLook_LT_Object_Left	PrefLook_LT_Object_Right	PrefLook_LT_Total	PrefLook_LT_Object_Fam	PrefLook_LT_Object_Nov	PrefLook_LT_Object_Nov_PROP	PrefLook_FL	PrefLook_FL_Meaning
8	W	13	1	Con1	LOB	SOC	D1a	7896	5903	0.717818181818182	1941	5793	7734	5034	3186	4225	7411	0.938576494427558	3186	4225	7411	0.938576494427558	0	1	0	1258	683	1941	1	217	200	417	0.0719834282755049	1475	883	2358	0.30488750969744	0	0	0	0	0	0	2259	2450	4709	0.93543901470004	0	0	TRUE	TRUE	1	1_a	left	1_b	right	2042	2859	4901	2042	2859	0.583350336665987	right	novel
8	W	13	2	Con2	LOB	NSOC	D2a	6144	4726	0.558545454545455	1751	4743	6494	4342	2651	2066	4717	0.767740885416667	0	0	0	0	882	0	0.1435546875	0	0	0	0	0	0	0	0	0	0	0	0	300	0.171330668189606	0	0	300	0.0461964890668309	0	0	0	0	442	0.101796407185629	TRUE	TRUE	1	7_a	right	7_b	left	0	0	0	0	0	NA	NA	NA
8	W	13	3	Con3	NLOB	SOC	D1b	6943	8089	0.631181818181818	2343	8699	11042	4642	1810	0	1810	0.260694224398675	0	0	0	0	4233	0	0.609678813193144	0	0	0	0	0	0	0	0	0	0	0	0	1233	0.526248399487836	833	0.0957581331187493	2066	0.187103785546097	0	0	0	0	2708	0.583369237397673	TRUE	TRUE	1	14_a	right	14_b	left	0	0	0	0	0	NA	NA	NA
8	W	13	4	Con4	NLOB	NSOC	D2b	3841	4846	0.349181818181818	1391	6749	8140	4319	925	708	1633	0.425149700598802	0	0	0	0	983	0	0.255922936735225	0	0	0	0	0	0	0	0	0	0	0	0	150	0.1078360891445	0	0	150	0.0184275184275184	0	0	0	0	583	0.134984950219958	TRUE	TRUE	1	19_a	left	19_b	right	0	467	467	0	467	1	right	novel
8	W	13	5	Con4	NLOB	NSOC	D2b	7950	5715	0.722727272727273	2175	6265	8440	5476	3899	3626	7525	0.946540880503145	3899	3626	7525	0.946540880503145	233	0.969966486207785	0.0293081761006289	1317	625	1942	0.892873563218391	483	533	1016	0.162170790103751	1800	1158	2958	0.350473933649289	233	0.107126436781609	0	0	233	0.02760663507109	1983	3001	4984	0.910153396639883	167	0.0304967129291454	TRUE	TRUE	1	20_a	left	20_b	right	2499	2599	5098	2499	2599	0.50980776775206	left	familiar
8	W	13	6	Con2	LOB	NSOC	D2a	6096	7779	0.554181818181818	2092	7283	9375	3809	1633	2838	4471	0.733431758530184	491	1012	1503	0.246555118110236	1625	0.480498721227621	0.266568241469816	0	0	0	0	0	826	826	0.11341480159275	0	826	826	0.0881066666666667	0	0	0	0	0	0	491	1076	1567	0.411394066684169	1075	0.282226306117091	TRUE	TRUE	1	8_a	right	8_b	left	6562	775	7337	775	6562	0.894370996320022	left	novel
8	W	13	7	Con1	LOB	SOC	D1a	7236	8034	0.657818181818182	2058	7510	9568	4952	3193	3835	7028	0.971254836926479	3193	3835	7028	0.971254836926479	0	1	0	950	1108	2058	1	833	300	1133	0.1508655126498	1783	1408	3191	0.333507525083612	0	0	0	0	0	0	1808	3144	4952	1	0	0	TRUE	TRUE	1	2_a	right	2_b	left	2942	5092	8034	5092	2942	0.366193676873289	left	novel
8	W	13	8	Con3	NLOB	SOC	D1b	8065	4114	0.733181818181818	2059	4392	6451	5845	1910	2194	4104	0.508865468071916	1910	2194	4104	0.508865468071916	3493	0.540213242069238	0.433106013639182	751	1308	2059	1	183	934	1117	0.254326047358834	934	2242	3176	0.492326771043249	0	0	0	0	0	0	817	1418	2235	0.382378100940975	3493	0.597604790419162	TRUE	TRUE	1	15_b	right	15_a	left	1359	1516	2875	1516	1359	0.472695652173913	right	familiar
8	W	13	9	Con3	NLOB	SOC	D1b	8326	8127	0.756909090909091	2099	8558	10657	6290	2383	617	3000	0.360317079029546	2383	617	3000	0.360317079029546	4607	0.394373603260155	0.553326927696373	1290	617	1907	0.908527870414483	341	0	341	0.0398457583547558	1631	617	2248	0.210941165431172	0	0	958	0.111942042533302	958	0.0898939664070564	891	0	891	0.141653418124006	4632	0.736406995230525	TRUE	TRUE	1	16_a	right	16_b	left	2050	5568	7618	5568	2050	0.269099501181412	left	novel
8	W	13	10	Con1	LOB	SOC	D1a	7872	4938	0.715636363636364	2066	5858	7924	6022	3357	2280	5637	0.716082317073171	3357	2280	5637	0.716082317073171	1866	0.751299480207917	0.237042682926829	1458	608	2066	1	258	916	1174	0.200409696142028	1716	1524	3240	0.408884401817264	0	0	0	0	0	0	1674	2207	3881	0.644470275655928	1558	0.258718033875789	TRUE	TRUE	1	3_a	left	3_b	right	1384	1974	3358	1384	1974	0.587849910661108	left	familiar
