ID	Sex	Age_Days	Trial	Condition	Con_Object	Con_SocInt	Dyad	Overall_LT_ScreenFam	Overall_LT_ScreenPrefLook	Inter_PropOverall_LT_Screen	InterPhase_LT_Soc_Begin	InterPhase_LT_Soc_End	InterPhase_LT_Soc_Total	InterPhase_LT_Gazing	Inter_LT_ActorLeft	Inter_LT_ActorRight	Inter_LT_ActorsTotal	Inter_LT_Actors_PROP	Inter_LT_FaceLeft	Inter_LT_FaceRight	Inter_LT_FacesTotal	Inter_LT_Faces_PROP	Inter_LT_Object	Inter_LT_FacesObject_PROP	Inter_LT_Object_PROP	InterPhase_LT_FaceLeft_Soc_Begin	InterPhase_LT_FaceRight_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin_PROP	InterPhase_LT_FaceLeft_Soc_End	InterPhase_LT_FaceRight_Soc_End	InterPhase_LT_FaceTotal_Soc_End	InterPhase_LT_FaceTotal_Soc_End_PROP	InterPhase_LT_FaceLeft_Soc_Total	InterPhase_LT_FaceRight_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total_PROP	InterPhase_LT_Object_Soc_Begin	InterPhase_LT_Object_Soc_Begin_PROP	InterPhase_LT_Object_Soc_End	InterPhase_LT_Object_Soc_End_PROP	InterPhase_LT_Object_Soc_Total	InterPhase_LT_Object_Soc_Total_PROP	InterPhase_LT_FaceLeft_Gazing	InterPhase_LT_FaceRight_Gazing	InterPhase_LT_FaceTotal_Gazing	InterPhase_LT_FaceTotal_Gazing_PROP	InterPhase_LT_Object_Gazing	InterPhase_LT_Object_Gazing_PROP	InterPhase_Checker_Soc	InterPhase_Checker_Gazing	InterPhase_Checker_valid	PrefLook_Object_Fam	PrefLook_Object_Fam_Pos	PrefLook_Object_Nov	PrefLook_Object_Nov_Pos	PrefLook_LT_Object_Left	PrefLook_LT_Object_Right	PrefLook_LT_Total	PrefLook_LT_Object_Fam	PrefLook_LT_Object_Nov	PrefLook_LT_Object_Nov_PROP	PrefLook_FL	PrefLook_FL_Meaning
13	W	12	1	Con1	LOB	SOC	D1a	7238	6358	0.658	2067	6183	8250	4559	3559	2752	6311	0.871925946394032	3559	2752	6311	0.871925946394032	459	0.932200886262925	0.0634153080961592	1000	1067	2067	1	509	283	792	0.128093158660844	1509	1350	2859	0.346545454545455	0	0	0	0	0	0	2425	1675	4100	0.899320026321562	459	0.100679973678438	TRUE	TRUE	1	1_a	left	1_b	right	2166	3593	5759	2166	3593	0.623893036985588	left	familiar
13	W	12	2	Con2	LOB	NSOC	D2a	8364	6751	0.760363636363636	2408	7335	9743	6201	4316	2692	7008	0.837876614060258	4316	2067	6383	0.763151602104256	1042	0.8596632996633	0.124581539933046	2049	359	2408	1	892	0	892	0.121608725289707	2941	359	3300	0.338704711074618	0	0	0	0	0	0	2583	1142	3725	0.600709562973714	1042	0.168037413320432	TRUE	TRUE	1	7_a	right	7_b	left	3316	2768	6084	2768	3316	0.545036160420776	right	familiar
13	W	12	3	Con3	NLOB	SOC	D1b	8407	6770	0.764272727272727	2334	7052	9386	4932	5374	1217	6591	0.783989532532413	5274	675	5949	0.707624598548828	1258	0.825447481615096	0.14963720708933	1250	651	1901	0.814481576692374	826	0	826	0.117129892229155	2076	651	2727	0.290539100788408	433	0.185518423307626	0	0	433	0.0461325378222885	2616	675	3291	0.667274939172749	858	0.173965936739659	TRUE	TRUE	1	14_a	right	14_b	left	3800	1867	5667	1867	3800	0.670548791247574	left	novel
13	W	12	4	Con4	NLOB	NSOC	D2b	7398	6839	0.672545454545455	2342	6510	8852	4368	3508	1059	4567	0.617329007839957	3208	1059	4267	0.576777507434442	2509	0.629722550177096	0.339145715058124	1742	600	2342	1	0	459	459	0.0705069124423963	1742	1059	2801	0.316425666516042	0	0	0	0	0	0	467	650	1117	0.255723443223443	2509	0.574404761904762	TRUE	TRUE	1	19_a	left	19_b	right	2158	4309	6467	2158	4309	0.666305860522654	left	familiar
13	W	12	5	Con4	NLOB	NSOC	D2b	7970	6464	0.724545454545454	2141	5892	8033	4916	4066	959	5025	0.630489335006274	3899	609	4508	0.565621079046424	2649	0.629872851753528	0.33237139272271	1191	609	1800	0.840728631480616	449	0	449	0.0762050237610319	1640	609	2249	0.279970123241628	341	0.159271368519383	0	0	341	0.0424498941864808	1750	0	1750	0.355980471928397	2649	0.538852725793328	TRUE	TRUE	1	20_a	left	20_b	right	3101	1842	4943	3101	1842	0.372648189358689	left	familiar
13	W	12	6	Con2	LOB	NSOC	D2a	8181	5838	0.743727272727273	2473	5193	7666	5241	5998	1266	7264	0.887911013323555	5831	1266	7097	0.867497860897201	441	0.94149641814805	0.0539053905390539	766	1266	2032	0.821674080064699	1166	0	1166	0.224533025226266	1932	1266	3198	0.417166710148709	441	0.178325919935301	0	0	441	0.0575267414557788	4166	908	5074	0.968135851936653	0	0	TRUE	TRUE	1	8_a	right	8_b	left	4112	734	4846	734	4112	0.848534874122988	left	novel
13	W	12	7	Con1	LOB	SOC	D1a	8591	4119	0.781	2277	4776	7053	5294	1824	3810	5634	0.655802584099639	1824	2768	4592	0.534512862297753	2676	0.631810676940011	0.311488767314632	258	1310	1568	0.688625384277558	67	758	825	0.172738693467337	325	2068	2393	0.339288246136396	0	0	0	0	0	0	67	2126	2193	0.414242538723083	2676	0.505477899508878	TRUE	TRUE	1	2_a	right	2_b	left	3110	650	3760	650	3110	0.827127659574468	left	novel
13	W	12	8	Con3	NLOB	SOC	D1b	7356	4956	0.668727272727273	2126	4476	6602	4577	5002	0	5002	0.679989124524198	5002	0	5002	0.679989124524198	2317	0.683426697636289	0.314980967917346	834	0	834	0.392285983066792	341	0	341	0.0761840929401251	1175	0	1175	0.177976370796728	1292	0.607714016933208	317	0.0708221626452189	1609	0.243714026052711	3335	0	3335	0.728643216080402	1242	0.271356783919598	TRUE	TRUE	1	15_b	right	15_a	left	2126	2067	4193	2067	2126	0.50703553541617	left	novel
13	W	12	9	Con3	NLOB	SOC	D1b	8201	6196	0.745545454545455	2432	6809	9241	5626	3585	2283	5868	0.715522497256432	3402	1841	5243	0.639312278990367	2050	0.718908542437954	0.249969515912694	341	1841	2182	0.897203947368421	934	0	934	0.137171390806286	1275	1841	3116	0.337192944486527	0	0	0	0	0	0	1984	183	2167	0.385175968716673	2050	0.364379665837185	TRUE	TRUE	1	16_a	right	16_b	left	3812	1550	5362	1550	3812	0.710928757926147	left	novel
13	W	12	10	Con1	LOB	SOC	D1a	6973	5989	0.633909090909091	2551	6034	8585	5074	3147	2231	5378	0.771260576509393	2839	1840	4679	0.671016779004733	1459	0.762300423590746	0.20923562311774	2151	400	2551	1	242	516	758	0.125621478289692	2393	916	3309	0.385439720442632	0	0	0	0	0	0	643	1840	2483	0.489357508868743	1017	0.200433582972014	TRUE	TRUE	1	3_a	left	3_b	right	2142	3556	5698	2142	3556	0.624078624078624	left	familiar
