ID	Sex	Age_Days	Trial	Condition	Con_Object	Con_SocInt	Dyad	Overall_LT_ScreenFam	Overall_LT_ScreenPrefLook	Inter_PropOverall_LT_Screen	InterPhase_LT_Soc_Begin	InterPhase_LT_Soc_End	InterPhase_LT_Soc_Total	InterPhase_LT_Gazing	Inter_LT_ActorLeft	Inter_LT_ActorRight	Inter_LT_ActorsTotal	Inter_LT_Actors_PROP	Inter_LT_FaceLeft	Inter_LT_FaceRight	Inter_LT_FacesTotal	Inter_LT_Faces_PROP	Inter_LT_Object	Inter_LT_FacesObject_PROP	Inter_LT_Object_PROP	InterPhase_LT_FaceLeft_Soc_Begin	InterPhase_LT_FaceRight_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin_PROP	InterPhase_LT_FaceLeft_Soc_End	InterPhase_LT_FaceRight_Soc_End	InterPhase_LT_FaceTotal_Soc_End	InterPhase_LT_FaceTotal_Soc_End_PROP	InterPhase_LT_FaceLeft_Soc_Total	InterPhase_LT_FaceRight_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total_PROP	InterPhase_LT_Object_Soc_Begin	InterPhase_LT_Object_Soc_Begin_PROP	InterPhase_LT_Object_Soc_End	InterPhase_LT_Object_Soc_End_PROP	InterPhase_LT_Object_Soc_Total	InterPhase_LT_Object_Soc_Total_PROP	InterPhase_LT_FaceLeft_Gazing	InterPhase_LT_FaceRight_Gazing	InterPhase_LT_FaceTotal_Gazing	InterPhase_LT_FaceTotal_Gazing_PROP	InterPhase_LT_Object_Gazing	InterPhase_LT_Object_Gazing_PROP	InterPhase_Checker_Soc	InterPhase_Checker_Gazing	InterPhase_Checker_valid	PrefLook_Object_Fam	PrefLook_Object_Fam_Pos	PrefLook_Object_Nov	PrefLook_Object_Nov_Pos	PrefLook_LT_Object_Left	PrefLook_LT_Object_Right	PrefLook_LT_Total	PrefLook_LT_Object_Fam	PrefLook_LT_Object_Nov	PrefLook_LT_Object_Nov_PROP	PrefLook_FL	PrefLook_FL_Meaning
6	M	9	1	Con1	LOB	SOC	D1a	6366	4224	0.578727272727273	1766	3708	5474	3701	2642	3517	6159	0.967483506126296	2642	3517	6159	0.967483506126296	0	1	0	1309	457	1766	1	0	334	334	0.0900755124056095	1309	791	2100	0.383631713554987	0	0	0	0	0	0	1433	2268	3701	1	0	0	TRUE	TRUE	1	1_a	left	1_b	right	1491	2733	4224	1491	2733	0.647017045454545	right	novel
6	M	9	2	Con2	LOB	NSOC	D2a	6398	3150	0.581636363636364	2375	2750	5125	3065	4457	1116	5573	0.871053454204439	4457	1041	5498	0.859331040950297	0	1	0	1909	133	2042	0.859789473684211	0	0	0	0	1909	133	2042	0.398439024390244	0	0	0	0	0	0	1949	1041	2990	0.975530179445351	0	0	TRUE	TRUE	1	7_a	right	7_b	left	700	2258	2958	2258	700	0.236646382691007	right	familiar
6	M	9	3	Con3	NLOB	SOC	D1b	6348	3197	0.577090909090909	2300	4516	6816	4002	3050	3014	6064	0.95526149968494	3050	3014	6064	0.95526149968494	0	1	0	933	1367	2300	1	0	1126	1126	0.24933569530558	933	2493	3426	0.502640845070423	0	0	0	0	0	0	1358	2560	3918	0.979010494752624	0	0	TRUE	TRUE	1	14_a	right	14_b	left	1041	1758	2799	1758	1041	0.371918542336549	right	familiar
6	M	9	4	Con4	NLOB	NSOC	D2b	6421	3066	0.583727272727273	1992	3575	5567	3659	3004	2934	5938	0.924778071951409	2896	2934	5830	0.907958261952967	0	1	0	1184	808	1992	1	108	401	509	0.142377622377622	1292	1209	2501	0.449254535656547	0	0	0	0	0	0	1183	2126	3309	0.904345449576387	0	0	TRUE	TRUE	1	19_a	left	19_b	right	858	1916	2774	858	1916	0.69069935111752	right	novel
6	M	9	5	Con4	NLOB	NSOC	D2b	6921	2099	0.629181818181818	2325	2701	5026	4207	4094	2710	6804	0.983094928478544	4094	2710	6804	0.983094928478544	0	1	0	1550	775	2325	1	0	558	558	0.206590151795631	1550	1333	2883	0.573617190608834	0	0	0	0	0	0	2242	1965	4207	1	0	0	TRUE	TRUE	1	20_a	left	20_b	right	842	909	1751	842	909	0.519131924614506	right	novel
6	M	9	6	Con2	LOB	NSOC	D2a	6888	4507	0.626181818181818	1868	4331	6199	4499	2366	4350	6716	0.975029036004646	2366	4350	6716	0.975029036004646	0	1	0	726	1142	1868	1	0	484	484	0.111752482105749	726	1626	2352	0.37941603484433	0	0	0	0	0	0	1016	3466	4482	0.996221382529451	0	0	TRUE	TRUE	1	8_a	right	8_b	left	1124	2590	3714	2590	1124	0.302638664512655	right	familiar
6	M	9	7	Con1	LOB	SOC	D1a	6181	3115	0.561909090909091	1783	3701	5484	3483	3240	2792	6032	0.975893868306099	3240	2792	6032	0.975893868306099	0	1	0	1283	500	1783	1	0	701	701	0.189408268035666	1283	1201	2484	0.452954048140044	0	0	0	0	0	0	1624	1859	3483	1	0	0	TRUE	TRUE	1	2_a	right	2_b	left	1008	1667	2675	1667	1008	0.376822429906542	left	novel
6	M	9	8	Con3	NLOB	SOC	D1b	3324	1877	0.302181818181818	616	2001	2617	1774	2383	225	2608	0.784596871239471	2383	225	2608	0.784596871239471	366	0.876933422999328	0.110108303249097	616	0	616	1	308	0	308	0.15392303848076	924	0	924	0.353076041268628	0	0	75	0.0374812593703148	75	0.0286587695834926	1183	225	1408	0.793686583990981	366	0.206313416009019	TRUE	TRUE	1	15_b	right	15_a	left	326	1384	1710	1384	326	0.190643274853801	left	novel
6	M	9	9	Con3	NLOB	SOC	D1b	6139	1425	0.558090909090909	2300	2300	4600	3424	2041	3433	5474	0.891676168757127	2041	3433	5474	0.891676168757127	558	0.907493368700265	0.0908942824564261	1433	867	2300	1	0	875	875	0.380434782608696	1433	1742	3175	0.690217391304348	0	0	0	0	0	0	358	2508	2866	0.837032710280374	558	0.162967289719626	TRUE	TRUE	1	16_a	right	16_b	left	675	417	1092	417	675	0.618131868131868	right	familiar
6	M	9	10	Con1	LOB	SOC	D1a	4927	2018	0.447909090909091	925	2843	3768	3573	2116	1769	3885	0.788512279277451	2116	1769	3885	0.788512279277451	592	0.867768595041322	0.120154252080373	375	0	375	0.405405405405405	0	900	900	0.316567006683081	375	900	1275	0.338375796178344	225	0.243243243243243	0	0	225	0.0597133757961783	749	1899	2648	0.741113909879653	492	0.137699412258606	TRUE	TRUE	1	3_a	left	3_b	right	1150	551	1701	1150	551	0.323927101704879	left	familiar
6	M	9	11	Con2	LOB	NSOC	D2a	5972	2374	0.542909090909091	2249	2274	4523	2582	4832	392	5224	0.874748827863362	4832	392	5224	0.874748827863362	233	0.957302547187099	0.0390154052243804	2249	0	2249	1	108	0	108	0.0474934036939314	2357	0	2357	0.521114304665045	0	0	0	0	0	0	1690	392	2082	0.806351665375678	233	0.0902401239349342	TRUE	TRUE	1	9_a	right	9_b	left	1668	266	1934	266	1668	0.862461220268873	left	novel
6	M	9	12	Con4	NLOB	NSOC	D2b	5958	1917	0.541636363636364	1825	2634	4459	3749	4301	0	4301	0.721886539107083	3018	0	3018	0.506545820745216	1258	0.705799812909261	0.211144679422625	792	0	792	0.433972602739726	717	0	717	0.272209567198178	1509	0	1509	0.338416685355461	0	0	0	0	0	0	1050	0	1050	0.280074686583089	1258	0.335556148306215	TRUE	TRUE	1	21_a	right	21_b	left	1917	0	1917	0	1917	1	left	novel
6	M	9	13	Con1	LOB	SOC	D1a	6084	1317	0.553090909090909	2159	1534	3693	3067	2682	3110	5792	0.952005259697567	2190	2626	4816	0.791584483892176	0	1	0	333	1734	2067	0.957387679481241	0	0	0	0	333	1734	2067	0.559707554833469	0	0	0	0	0	0	599	1375	1974	0.643625692859472	0	0	TRUE	TRUE	1	4_a	right	4_b	left	592	467	1059	467	592	0.559017941454202	right	familiar
6	M	9	17	Con4	NLOB	NSOC	D2b	4075	1884	0.370454545454545	1650	1884	3534	1200	2674	725	3399	0.834110429447853	2674	725	3399	0.834110429447853	175	0.951035254616676	0.0429447852760736	1475	0	1475	0.893939393939394	0	0	0	0	1475	0	1475	0.417374080362196	175	0.106060606060606	0	0	175	0.0495189586870402	92	725	817	0.680833333333333	175	0.145833333333333	TRUE	TRUE	1	22_a	right	22_b	left	909	792	1701	792	909	0.534391534391534	left	novel
6	M	9	15	Con2	LOB	NSOC	D2a	3092	2189	0.281090909090909	1408	2608	4016	692	2400	600	3000	0.970245795601552	2400	600	3000	0.970245795601552	92	0.970245795601552	0.0297542043984476	808	600	1408	1	383	0	383	0.146855828220859	1191	600	1791	0.445966135458167	0	0	0	0	0	0	383	217	600	0.867052023121387	92	0.132947976878613	TRUE	TRUE	1	10_a	left	10_b	right	884	1108	1992	884	1108	0.556224899598394	left	familiar
6	M	9	16	Con3	NLOB	SOC	D1b	2959	733	0.269	1626	733	2359	633	2526	0	2526	0.853666779317337	2526	0	2526	0.853666779317337	358	0.875866851595007	0.120986819871578	1626	0	1626	1	0	0	0	0	1626	0	1626	0.68927511657482	0	0	0	0	0	0	200	0	200	0.315955766192733	358	0.565560821484992	TRUE	TRUE	1	17_a	right	17_b	left	325	408	733	408	325	0.443383356070941	left	novel
