"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"05"	"W"	"9"	1	"Con1"	"LOB"	"SOC"	"D1a"	9144	6959	0.831272727272727	2451	6331	8782	5892	5817	2908	8725	0.95417760279965	5817	2908	8725	0.95417760279965	0	1	0	1975	476	2451	1	592	0	592	0.0935081345758964	2567	476	3043	0.346504213163289	0	0	0	0	0	0	4108	1767	5875	0.997114731839783	0	0	TRUE	TRUE	1	"1_a"	"right"	"1_b"	"left"	4413	2108	6521	2108	4413	0.67673669682564	"left"	"novel"
"05"	"W"	"9"	2	"Con2"	"LOB"	"NSOC"	"D2a"	8730	7638	0.793636363636364	2575	6761	9336	5868	4893	1608	6501	0.7446735395189	4893	1608	6501	0.7446735395189	1884	0.775313059033989	0.215807560137457	2575	0	2575	1	150	0	150	0.0221860671498299	2725	0	2725	0.29188089117395	0	0	367	0.0542819109599172	367	0.0393101970865467	2876	933	3809	0.649113837764145	1884	0.321063394683027	TRUE	TRUE	1	"7_a"	"left"	"7_b"	"right"	2605	4669	7274	2605	4669	0.641875171844927	"right"	"novel"
"05"	"W"	"9"	3	"Con3"	"NLOB"	"SOC"	"D1b"	8622	7404	0.783818181818182	2109	6991	9100	5851	1517	1993	3510	0.407098121085595	1517	1993	3510	0.407098121085595	4768	0.424015462672143	0.553003943400603	842	0	842	0.399241346609768	0	909	909	0.130024316978973	842	909	1751	0.192417582417582	1267	0.600758653390232	0	0	1267	0.139230769230769	942	1600	2542	0.434455648607076	3309	0.565544351392924	TRUE	TRUE	1	"11_a"	"left"	"11_b"	"right"	2358	4715	7073	2358	4715	0.666619539092323	"right"	"novel"
"05"	"W"	"9"	4	"Con4"	"NLOB"	"NSOC"	"D2b"	6831	7859	0.621	2400	7283	9683	4051	1250	1451	2701	0.395403308446787	975	1226	2201	0.322207583077148	3740	0.370476350782697	0.547504025764895	0	876	876	0.365	0	0	0	0	0	876	876	0.0904678302179077	1416	0.59	683	0.0937800356995744	2099	0.216771661675101	975	509	1484	0.36632930140706	1883	0.464823500370279	TRUE	TRUE	1	"16_a"	"right"	"16_b"	"left"	5337	2108	7445	2108	5337	0.716856950973808	"left"	"novel"
"05"	"W"	"9"	5	"Con4"	"NLOB"	"NSOC"	"D2b"	6803	7035	0.618454545454545	2708	6008	8716	3691	1809	775	2584	0.379832426870498	1809	667	2476	0.363957077759812	3791	0.395085367799585	0.557254152579744	983	0	983	0.362998522895126	0	0	0	0	983	0	983	0.112781092244149	1725	0.637001477104874	0	0	1725	0.197911886186324	367	667	1034	0.280140883229477	2357	0.638580330533731	TRUE	TRUE	1	"13_a"	"left"	"13_b"	"right"	3225	3542	6767	3225	3542	0.523422491502882	"left"	"familiar"
"05"	"W"	"9"	6	"Con2"	"LOB"	"NSOC"	"D2a"	5343	7315	0.485727272727273	1125	6933	8058	5034	2008	242	2250	0.421111734980348	2008	242	2250	0.421111734980348	3035	0.425733207190161	0.568032940295714	825	0	825	0.733333333333333	258	0	258	0.0372133275638252	1083	0	1083	0.13440059568131	300	0.266666666666667	0	0	300	0.0372300819061802	1941	242	2183	0.433651172030195	2484	0.493444576877235	TRUE	TRUE	1	"8_a"	"right"	"8_b"	"left"	3492	3508	7000	3508	3492	0.498857142857143	"left"	"novel"
"05"	"W"	"9"	7	"Con3"	"NLOB"	"SOC"	"D1b"	6401	7107	0.581909090909091	2209	6133	8342	3824	1833	725	2558	0.399625058584596	1833	725	2558	0.399625058584596	3617	0.414251012145749	0.565067958131542	0	575	575	0.260298777727479	433	0	433	0.070601663133866	433	575	1008	0.120834332294414	1634	0.739701222272522	192	0.0313060492418066	1826	0.218892351953968	1533	0	1533	0.400889121338912	2291	0.599110878661088	TRUE	TRUE	1	"10_a"	"left"	"10_b"	"right"	1799	4700	6499	1799	4700	0.723188182797353	"right"	"novel"
"05"	"W"	"9"	8	"Con1"	"LOB"	"SOC"	"D1a"	6733	5882	0.612090909090909	2235	4852	7087	3866	3008	800	3808	0.565572553096688	3008	800	3808	0.565572553096688	2508	0.602913236225459	0.372493687806327	684	459	1143	0.511409395973154	0	0	0	0	684	459	1143	0.161281219133625	1092	0.488590604026846	0	0	1092	0.154084944264146	2416	800	3216	0.831867563372995	650	0.168132436627005	TRUE	TRUE	1	"4_a"	"right"	"4_b"	"left"	3640	1767	5407	1767	3640	0.673201405585352	"left"	"novel"
"05"	"W"	"9"	9	"Con1"	"LOB"	"SOC"	"D1a"	6631	5222	0.602818181818182	2327	5358	7685	3276	650	409	1059	0.159704418639723	650	409	1059	0.159704418639723	5201	0.169169329073482	0.784346252450611	333	409	742	0.31886549204985	0	0	0	0	333	409	742	0.096551724137931	1585	0.68113450795015	0	0	1585	0.206245933636955	0	259	259	0.0790598290598291	3017	0.920940170940171	TRUE	TRUE	1	"3_a"	"left"	"3_b"	"right"	1833	2583	4416	1833	2583	0.58491847826087	"left"	"familiar"
"05"	"W"	"9"	10	"Con3"	"NLOB"	"SOC"	"D1b"	7651	1912	0.695545454545455	1941	2114	4055	5125	467	3042	3509	0.458632858449876	467	3042	3509	0.458632858449876	4142	0.458632858449876	0.541367141550124	0	575	575	0.296239052035033	0	784	784	0.370860927152318	0	1359	1359	0.335141800246609	1366	0.703760947964966	0	0	1366	0.336868064118372	467	2350	2817	0.549658536585366	2308	0.450341463414634	TRUE	TRUE	1	"12_a"	"right"	"12_b"	"left"	413	1025	1438	1025	413	0.287204450625869	"right"	"familiar"
"05"	"W"	"9"	11	"Con4"	"NLOB"	"NSOC"	"D2b"	7389	6016	0.671727272727273	2266	5326	7592	5607	0	6674	6674	0.903234537826499	0	6499	6499	0.879550683448369	615	0.91355074500984	0.0832318311002842	0	1833	1833	0.808914386584289	0	883	883	0.165790461885092	0	2716	2716	0.357744994731296	433	0.191085613415711	0	0	433	0.0570337197049526	0	5507	5507	0.982165150704477	0	0	TRUE	TRUE	1	"14_a"	"right"	"14_b"	"left"	2542	3015	5557	3015	2542	0.457441065323016	"right"	"familiar"
"05"	"W"	"9"	12	"Con2"	"LOB"	"NSOC"	"D2a"	2875	5726	0.261363636363636	0	6051	6051	2875	1642	542	2184	0.759652173913044	1642	542	2184	0.759652173913044	691	0.759652173913044	0.240347826086957	0	0	0	NA	583	0	583	0.0963477111221286	583	0	583	0.0963477111221286	0	NA	0	0	0	0	1642	542	2184	0.759652173913044	691	0.240347826086957	FALSE	TRUE	0	"6_a"	"left"	"6_b"	"right"	666	4877	5543	666	4877	0.879848457513982	"right"	"novel"
"05"	"W"	"9"	13	"Con1"	"LOB"	"SOC"	"D1a"	7105	1554	0.645909090909091	2316	1554	3870	3724	3025	1908	4933	0.69429978888107	3025	1908	4933	0.69429978888107	1917	0.72014598540146	0.269809992962702	408	1908	2316	1	0	0	0	0	408	1908	2316	0.598449612403101	0	0	0	0	0	0	2250	624	2874	0.771750805585392	850	0.228249194414608	TRUE	TRUE	1	"2_a"	"left"	"2_b"	"right"	616	938	1554	616	938	0.603603603603604	"left"	"familiar"
"05"	"W"	"9"	14	"Con2"	"LOB"	"NSOC"	"D2a"	7373	7057	0.670272727272727	2483	6219	8702	5011	6777	0	6777	0.919164519191645	6702	0	6702	0.908992269089923	375	0.947011445527766	0.0508612505086125	2483	0	2483	1	346	0	346	0.0556359543334941	2829	0	2829	0.325097678694553	0	0	0	0	0	0	4936	0	4936	0.985032927559369	0	0	TRUE	TRUE	1	"5_a"	"right"	"5_b"	"left"	2623	4101	6724	4101	2623	0.390095181439619	"left"	"novel"
"05"	"W"	"9"	15	"Con4"	"NLOB"	"NSOC"	"D2b"	7661	2729	0.696454545454545	2274	3402	5676	4584	4766	1201	5967	0.778880041770004	4391	1109	5500	0.717921942305182	1250	0.814814814814815	0.163164077796632	1683	0	1683	0.740105540897098	0	617	617	0.181363903586126	1683	617	2300	0.405214940098661	508	0.22339489885664	0	0	508	0.0894996476391825	2150	1109	3259	0.710951134380454	775	0.169066317626527	TRUE	TRUE	1	"15_a"	"left"	"15_b"	"right"	609	1809	2418	609	1809	0.748138957816377	"right"	"novel"
"05"	"W"	"9"	16	"Con3"	"NLOB"	"SOC"	"D1b"	6083	4664	0.553	1200	4619	5819	5082	3133	0	3133	0.515041920105211	3133	0	3133	0.515041920105211	2384	0.567881094797897	0.391911885582772	0	0	0	0	909	0	909	0.196795843256116	909	0	909	0.156212407630177	1200	1	0	0	1200	0.206221000171851	3133	0	3133	0.616489571035026	1492	0.293585202676112	TRUE	TRUE	1	"9_a"	"right"	"9_b"	"left"	3393	1160	4553	1160	3393	0.745222929936306	"left"	"novel"
