"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"15"	"M"	"305"	1	"Con2"	"LOB"	"NSOC"	"D2a"	9831	4817	0.893727272727273	2781	4997	7778	6312	6411	2310	8721	0.887091852303937	5379	2115	7494	0.762282575526396	766	0.90726392251816	0.0779167938154816	3	1	4	3	1	4	0	1	1	1	1	1	0	1	1115	1666	2781	1	599	0	599	0.119871923153892	1714	1666	3380	0.43455901259964	0	0	0	0	0	0	1	1	1	2	1	0	1	3	1	0	1	0	0	0	1	2715	1432	4147	0.657002534854246	766	0.121356147021546	0.844087115815184	0	1	1	1	1	TRUE	TRUE	1	"9_b"	"right"	"9_a"	"left"	933	2565	3498	2565	933	0.26672384219554	"right"	"familiar"
"15"	"M"	"305"	2	"Con3"	"NLOB"	"SOC"	"D1b"	8207	6304	0.746090909090909	2680	7293	9973	5578	5237	2580	7817	0.952479590593396	5237	2580	7817	0.952479590593396	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	1	0	1	1149	1531	2680	1	1882	0	1882	0.258055669820376	3031	1531	4562	0.457435074701695	0	0	0	0	0	0	1	1	1	2	1	0	1	3	1	0	1	0	0	0	1	3531	1964	5495	0.985120114736465	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"13_b"	"left"	"13_a"	"right"	4312	683	4995	4312	683	0.136736736736737	"left"	"familiar"
"15"	"M"	"305"	3	"Con4"	"NLOB"	"NSOC"	"D2b"	5951	5222	0.541	818	6779	7597	4348	4302	1334	5636	0.947067719710973	3869	1334	5203	0.874306839186691	0	1	0	3	2	5	3	2	5	0	0	0	0	NA	2	1	3	467	351	818	1	366	0	366	0.0539902640507449	833	351	1184	0.155850993813347	0	0	0	0	0	0	1	1	1	2	1	0	1	3	1	0	1	0	0	0	1	1898	1334	3232	0.743330266789328	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"1_b"	"left"	"1_a"	"right"	4164	600	4764	4164	600	0.125944584382872	"left"	"familiar"
"15"	"M"	"305"	4	"Con1"	"LOB"	"SOC"	"D1a"	9939	5177	0.903545454545455	2698	7662	10360	7710	6331	3313	9644	0.970318945567965	6331	3163	9494	0.955226883992353	0	1	0	3	2	5	3	2	5	0	0	0	0	NA	1	2	3	850	1848	2698	1	1549	0	1549	0.202166536152441	2399	1848	4247	0.409942084942085	0	0	0	0	0	0	1	1	1	2	1	0	1	3	1	0	1	0	0	0	1	4580	2298	6878	0.892088197146563	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"5_b"	"right"	"5_a"	"left"	3964	849	4813	849	3964	0.8236027425722	"left"	"novel"
"15"	"M"	"305"	5	"Con1"	"LOB"	"SOC"	"D1a"	9511	2631	0.864636363636364	2747	3813	6560	6194	6089	3313	9402	0.988539585742824	6089	3313	9402	0.988539585742824	0	1	0	4	3	7	4	3	7	0	0	0	0	NA	3	3	6	1182	1565	2747	1	1199	83	1282	0.336218200891686	2381	1648	4029	0.614176829268293	0	0	0	0	0	0	1	2	1	3	1	1	2	5	1	1	2	0	1	1	3	4097	2097	6194	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"6_b"	"left"	"6_a"	"right"	183	2132	2315	183	2132	0.920950323974082	"left"	"familiar"
"15"	"M"	"305"	6	"Con4"	"NLOB"	"NSOC"	"D2b"	8426	5790	0.766	2647	7011	9658	5279	5413	2764	8177	0.970448611440779	5096	2764	7860	0.932826964158557	0	1	0	3	2	5	3	2	5	0	0	0	0	NA	2	0	2	849	1715	2564	0.968643747638836	217	0	217	0.0309513621452004	1066	1715	2781	0.287947815282667	0	0	0	0	0	0	1	2	1	3	1	0	1	4	1	0	1	0	0	0	1	2864	1215	4079	0.772684220496306	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"2_b"	"left"	"2_a"	"right"	3397	1266	4663	3397	1266	0.271499034956037	"left"	"familiar"
"15"	"M"	"305"	7	"Con3"	"NLOB"	"SOC"	"D1b"	9827	3283	0.893363636363636	2682	4514	7196	6347	3664	6163	9827	1	3664	5380	9044	0.920321563040602	0	1	0	3	4	7	3	4	7	0	0	0	0	NA	3	2	5	900	1782	2682	1	0	1016	1016	0.225077536552946	900	2798	3698	0.513896609227348	0	0	0	0	0	0	1	1	1	2	0	1	1	3	0	1	1	0	0	0	1	1866	3698	5564	0.876634630534111	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"14_b"	"right"	"14_a"	"left"	2015	1183	3198	1183	2015	0.630081300813008	"left"	"novel"
"15"	"M"	"305"	8	"Con2"	"LOB"	"NSOC"	"D2a"	8046	2463	0.731454545454545	2599	3714	6313	6646	3048	4998	8046	1	3048	4998	8046	1	0	1	0	2	2	4	2	2	4	0	0	0	0	NA	2	1	3	266	2333	2599	1	400	666	1066	0.287022078621432	666	2999	3665	0.580548075399968	0	0	0	0	0	0	1	1	1	2	1	1	2	4	1	0	1	1	0	1	2	2782	3864	6646	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"10_b"	"right"	"10_a"	"left"	1066	982	2048	982	1066	0.5205078125	"left"	"novel"
"15"	"M"	"305"	9	"Con2"	"LOB"	"NSOC"	"D2a"	8299	3781	0.754454545454545	2565	3911	6476	4763	3331	4764	8095	0.975418725147608	3331	4764	8095	0.975418725147608	0	1	0	3	3	6	3	3	6	0	0	0	0	NA	3	2	5	1016	1549	2565	1	0	50	50	0.0127844541038098	1016	1599	2615	0.403798641136504	0	0	0	0	0	0	1	2	1	3	0	1	1	4	1	1	2	0	0	0	2	1282	3481	4763	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"11_b"	"left"	"11_a"	"right"	2945	550	3495	2945	550	0.157367668097282	"left"	"familiar"
"15"	"M"	"305"	10	"Con1"	"LOB"	"SOC"	"D1a"	9865	1536	0.896818181818182	2698	3049	5747	6927	6900	2965	9865	1	6900	2648	9548	0.967866193613786	0	1	0	4	3	7	4	3	7	0	0	0	0	NA	1	3	4	1316	1232	2548	0.944403261675315	932	516	1448	0.474909806493932	2248	1748	3996	0.695319297024535	0	0	0	0	0	0	1	2	1	3	1	1	2	5	0	1	1	0	1	1	2	5295	1449	6744	0.973581637072326	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"7_b"	"right"	"7_a"	"left"	1002	0	1002	0	1002	1	"left"	"novel"
