"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"30"	"M"	"288"	1	"Con2"	"LOB"	"NSOC"	"D2a"	8535	5164	0.775909090909091	2349	5763	8112	5912	3513	2997	6510	0.76274165202109	3513	2797	6310	0.739308728763913	1598	0.797926150733435	0.187229056824839	4	3	7	4	3	7	1	0	1	2	0.5	0	0	0	616	1333	1949	0.829714772243508	1516	0	1516	0.263057435363526	2132	1333	3465	0.427144970414201	0	0	0	0	0	0	1	2	2	4	1	0	1	5	0	0	0	0	0	0	0	3648	1081	4729	0.79989851150203	966	0.16339648173207	0.830377524143986	1	0	1	1	1	TRUE	TRUE	1	"9_b"	"right"	"9_a"	"left"	1965	2632	4597	2632	1965	0.427452686534697	"left"	"novel"
"30"	"M"	"288"	2	"Con3"	"NLOB"	"SOC"	"D1b"	6539	3563	0.594454545454545	2599	3763	6362	3133	1466	2285	3751	0.573635112402508	1283	2202	3485	0.532956109496865	2432	0.588980902484367	0.371922312280165	3	2	5	3	2	5	2	0	2	2	1	0	0	0	134	2116	2250	0.865717583686033	0	117	117	0.0310922136593144	134	2233	2367	0.372052813580635	166	0.0638707195075029	0	0	166	0.0260924237661113	0.934465061192262	1	1	2	0	1	1	3	0	0	0	0	0	0	0	617	584	1201	0.383338653048197	1666	0.531758697733801	0.418904778514126	1	0	1	1	1	TRUE	TRUE	1	"13_b"	"left"	"13_a"	"right"	1715	1498	3213	1715	1498	0.466230936819172	"left"	"familiar"
"30"	"M"	"288"	3	"Con4"	"NLOB"	"NSOC"	"D2b"	5952	3343	0.541090909090909	2199	4298	6497	3248	617	1838	2455	0.412466397849462	617	1838	2455	0.412466397849462	3347	0.423129955187866	0.562331989247312	1	2	3	1	2	3	1	0	1	3	0.333333333333333	0	1	1	617	883	1500	0.682128240109141	0	517	517	0.120288506281992	617	1400	2017	0.310450977374173	699	0.317871759890859	249	0.0579339227547697	948	0.145913498537787	0.68026981450253	1	1	2	0	1	1	3	0	1	1	0	0	0	1	0	517	517	0.159174876847291	2731	0.840825123152709	0.159174876847291	0	0	0	2	0	TRUE	TRUE	1	"1_b"	"left"	"1_a"	"right"	1815	1350	3165	1815	1350	0.42654028436019	"left"	"familiar"
"30"	"M"	"288"	4	"Con1"	"LOB"	"SOC"	"D1a"	6737	6599	0.612454545454545	2731	5560	8291	3212	1782	1748	3530	0.523972094404037	1782	1748	3530	0.523972094404037	2848	0.553465036061461	0.422740092029093	2	3	5	2	3	5	1	1	2	3	0.666666666666667	0	1	1	683	516	1199	0.439033321127792	0	249	249	0.0447841726618705	683	765	1448	0.174647207815704	1532	0.560966678872208	0	0	1532	0.184778675672416	0.485906040268456	1	1	2	0	1	1	3	0	0	0	0	0	0	0	1249	1165	2414	0.751556662515567	749	0.23318804483188	0.763199494151122	1	0	1	1	1	TRUE	TRUE	1	"5_b"	"right"	"5_a"	"left"	4547	1748	6295	1748	4547	0.722319301032565	"left"	"novel"
"30"	"M"	"288"	5	"Con1"	"LOB"	"SOC"	"D1a"	6482	3048	0.589272727272727	2198	3565	5763	3448	1000	1166	2166	0.334156124652885	600	1166	1766	0.272446775686516	3797	0.317454610821499	0.585775995063252	1	2	3	1	2	3	0	1	1	3	0.333333333333333	0	0	0	500	716	1216	0.553230209281165	0	200	200	0.0561009817671809	500	916	1416	0.245705361790734	799	0.36351228389445	0	0	799	0.138643067846608	0.639277652370203	1	1	2	0	1	1	3	0	0	0	0	0	0	0	0	517	517	0.149941995359629	2881	0.835556844547564	0.152148322542672	0	1	1	2	0.5	TRUE	TRUE	1	"6_b"	"left"	"6_a"	"right"	1849	866	2715	1849	866	0.318968692449355	"left"	"familiar"
"30"	"M"	"288"	6	"Con4"	"NLOB"	"NSOC"	"D2b"	6764	5180	0.614909090909091	2165	4164	6329	2982	0	3032	3032	0.448255470136014	0	3032	3032	0.448255470136014	3181	0.488009013359086	0.470283855706682	0	2	2	0	2	2	0	1	1	2	0.5	0	0	0	0	1399	1399	0.646189376443418	0	0	0	0	0	1399	1399	0.221045978827619	583	0.269284064665127	0	0	583	0.0921156580818455	0.705852674066599	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1750	1750	0.586854460093897	1049	0.35177733065057	0.625223294033583	0	1	1	1	1	TRUE	TRUE	1	"2_b"	"left"	"2_a"	"right"	4030	1083	5113	4030	1083	0.211813025620966	"left"	"familiar"
"30"	"M"	"288"	7	"Con3"	"NLOB"	"SOC"	"D1b"	4053	5214	0.368454545454545	1617	5530	7147	1049	1183	500	1683	0.415247964470762	1183	200	1383	0.341228719467061	2348	0.370678102385419	0.579323957562299	3	1	4	3	1	4	2	1	3	3	1	0	0	0	350	200	550	0.340136054421769	0	0	0	0	350	200	550	0.0769553658877851	767	0.474335188620903	0	0	767	0.107317755701693	0.417615793470008	1	1	2	0	0	0	2	0	0	0	0	0	0	0	633	0	633	0.603431839847474	383	0.36510962821735	0.623031496062992	1	0	1	1	1	TRUE	TRUE	1	"14_b"	"right"	"14_a"	"left"	4580	267	4847	267	4580	0.944914380028884	"left"	"novel"
"30"	"M"	"288"	8	"Con2"	"LOB"	"NSOC"	"D2a"	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	NA	0	NA	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	0	NA	FALSE	FALSE	0	"10_b"	"right"	"10_a"	"left"	0	0	0	0	0	NA	NA	NA
"30"	"M"	"288"	9	"Con2"	"LOB"	"NSOC"	"D2a"	9809	5295	0.891727272727273	2732	5246	7978	6298	2261	2598	4859	0.495361402793353	2261	2598	4859	0.495361402793353	4498	0.519290370845356	0.458558466714242	3	3	6	3	3	6	2	1	3	4	0.75	0	1	1	600	1466	2066	0.756222547584187	549	133	682	0.130003812428517	1149	1599	2748	0.344447229882176	666	0.243777452415813	0	0	666	0.0834795688142392	0.804920913884007	1	2	3	1	1	2	5	0	1	1	0	0	0	1	2349	767	3116	0.494760241346459	3049	0.484121943474119	0.505433901054339	2	0	2	2	1	TRUE	TRUE	1	"11_b"	"left"	"11_a"	"right"	1951	2699	4650	1951	2699	0.580430107526882	"left"	"familiar"
"30"	"M"	"288"	10	"Con1"	"LOB"	"SOC"	"D1a"	9052	7313	0.822909090909091	2632	6729	9361	5595	1099	4072	5171	0.571254971277066	816	3772	4588	0.506849315068493	3531	0.56509422342653	0.390079540433053	1	4	5	1	4	5	0	3	3	5	0.6	0	0	0	0	1882	1882	0.715045592705167	0	632	632	0.0939218308812602	0	2514	2514	0.268561051169747	750	0.284954407294833	0	0	750	0.0801196453370366	0.770220588235294	0	2	2	1	1	2	4	0	0	0	0	0	0	0	816	2014	2830	0.505808757819482	2132	0.381054512957998	0.570334542523176	0	2	2	4	0.5	TRUE	TRUE	1	"7_b"	"right"	"7_a"	"left"	3947	2715	6662	2715	3947	0.592464725307715	"right"	"familiar"
