"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"21"	"W"	"279"	1	"Con4"	"NLOB"	"NSOC"	"D1b"	7471	8854	0.679181818181818	2648	7129	9777	3847	4812	2016	6828	0.913933877660286	4812	2016	6828	0.913933877660286	0	1	0	6	2	8	6	2	8	0	0	0	0	NA	2	2	4	1299	1166	2465	0.930891238670695	467	0	467	0.0655070837424604	1766	1166	2932	0.299887491050424	0	0	0	0	0	0	1	2	1	3	1	0	1	4	1	1	2	0	0	0	2	2747	850	3597	0.935014296854692	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"10_a"	"left"	"10_b"	"right"	4880	3572	8452	4880	3572	0.422621864647421	"left"	"familiar"
"21"	"W"	"279"	2	"Con1"	"LOB"	"SOC"	"D2a"	8868	7017	0.806181818181818	2798	8678	11476	6347	5987	2448	8435	0.951172755976545	5987	2231	8218	0.926702751465945	0	1	0	4	2	6	4	2	6	0	0	0	0	NA	1	1	2	983	1382	2365	0.845246604717655	1765	0	1765	0.203387877391104	2748	1382	4130	0.359881491808993	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	0	0	0	0	0	0	4315	1815	6130	0.965810619190169	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"13_a"	"right"	"13_b"	"left"	4449	2114	6563	2114	4449	0.677891208288892	"left"	"novel"
"21"	"W"	"279"	3	"Con2"	"LOB"	"NSOC"	"D1a"	9907	7678	0.900636363636364	2648	7677	10325	6795	2782	6196	8978	0.906227919652771	2782	6196	8978	0.906227919652771	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	0	1	1	616	1649	2265	0.85536253776435	683	0	683	0.0889670444183926	1299	1649	2948	0.285520581113801	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	0	0	0	0	0	0	683	5413	6096	0.897130242825607	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"1_a"	"right"	"1_b"	"left"	4713	2199	6912	2199	4713	0.681857638888889	"left"	"novel"
"21"	"W"	"279"	4	"Con3"	"NLOB"	"SOC"	"D2b"	5984	5640	0.544	1749	5413	7162	3131	4296	1133	5429	0.907252673796791	3847	1133	4980	0.832219251336898	0	1	0	4	2	6	4	2	6	0	0	0	0	NA	1	0	1	1199	300	1499	0.857061177815895	150	0	150	0.027711065952337	1349	300	1649	0.230242948896956	0	0	0	0	0	0	1	2	1	3	1	0	1	4	1	0	1	0	0	0	1	1599	833	2432	0.776748642606196	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"6_a"	"left"	"6_b"	"right"	3291	1932	5223	3291	1932	0.369902354968409	"left"	"familiar"
"21"	"W"	"279"	5	"Con1"	"LOB"	"SOC"	"D2a"	8485	7348	0.771363636363636	2648	6862	9510	5780	3548	1766	5314	0.626281673541544	3548	1116	4664	0.549675898644667	2855	0.620295252028195	0.336476134354744	2	3	5	2	3	5	0	2	2	3	0.666666666666667	0	0	0	1782	533	2315	0.874244712990937	0	433	433	0.0631011366948412	1782	966	2748	0.288958990536278	0	0	866	0.126202273389682	866	0.091062039957939	0.760376314333149	2	1	3	0	1	1	4	0	0	0	0	0	0	0	1017	583	1600	0.27681660899654	3497	0.605017301038062	0.313910143221503	0	2	2	3	0.666666666666667	TRUE	TRUE	1	"14_a"	"left"	"14_b"	"right"	4364	1865	6229	4364	1865	0.299406004174025	"left"	"familiar"
"21"	"W"	"279"	6	"Con3"	"NLOB"	"SOC"	"D2b"	8717	8212	0.792454545454545	2632	7747	10379	5614	2915	2366	5281	0.605827693013651	2915	2366	5281	0.605827693013651	2765	0.656350981854338	0.317196283124928	2	2	4	2	2	4	0	0	0	2	0	2	1	3	1399	1233	2632	1	0	0	0	0	1399	1233	2632	0.253588977743521	0	0	1116	0.144055763521363	1116	0.107524809711918	0.702241195304162	2	2	4	0	0	0	4	2	1	3	0	0	0	3	350	1683	2033	0.362130388314927	3264	0.581403633772711	0.383802152161601	0	0	0	2	0	TRUE	TRUE	1	"5_a"	"right"	"5_b"	"left"	4646	3016	7662	3016	4646	0.606369094231271	"left"	"novel"
"21"	"W"	"279"	7	"Con4"	"NLOB"	"NSOC"	"D1b"	5463	5286	0.496636363636364	1932	6929	8861	3115	3815	516	4331	0.792787845506132	3631	383	4014	0.734761120263591	664	0.858058999572467	0.121544938678382	3	1	4	3	1	4	0	0	0	1	0	0	0	0	1749	0	1749	0.90527950310559	0	0	0	0	1749	0	1749	0.19738178535154	0	0	1199	0.173040842834464	1199	0.135312041530301	0.593283582089552	2	0	2	0	0	0	2	0	0	0	0	0	0	0	1166	383	1549	0.497271268057785	1199	0.384911717495987	0.563682678311499	0	0	0	1	0	TRUE	TRUE	1	"9_a"	"left"	"9_b"	"right"	2482	2549	5031	2482	2549	0.506658715961042	"right"	"novel"
"21"	"W"	"279"	8	"Con2"	"LOB"	"NSOC"	"D1a"	9011	7041	0.819181818181818	2697	6878	9575	5330	2581	2431	5012	0.556209077793808	2581	2098	4679	0.519254244811897	3615	0.564142753797926	0.401176340028854	2	2	4	2	2	4	0	1	1	2	0.5	1	1	2	366	1782	2148	0.796440489432703	716	50	766	0.111369584181448	1082	1832	2914	0.304334203655352	549	0.203559510567297	0	0	549	0.0573368146214099	0.841466936182501	1	1	2	1	1	2	4	1	0	1	0	1	1	2	716	616	1332	0.249906191369606	3615	0.678236397748593	0.269254093389933	0	1	1	2	0.5	TRUE	TRUE	1	"2_a"	"right"	"2_b"	"left"	3631	2582	6213	2582	3631	0.584419765008852	"left"	"novel"
"21"	"W"	"279"	9	"Con1"	"LOB"	"SOC"	"D2a"	7506	4393	0.682363636363636	2649	4466	7115	3948	3881	1033	4914	0.654676258992806	3881	1033	4914	0.654676258992806	1382	0.780495552731893	0.184119371169731	3	1	4	3	1	4	0	0	0	2	0	1	1	2	1616	1033	2649	1	450	0	450	0.100761307657859	2066	1033	3099	0.435558678847505	0	0	0	0	0	0	1	2	1	3	1	0	1	4	1	1	2	0	0	0	2	1299	250	1549	0.392350557244174	1382	0.350050658561297	0.52848857045377	0	0	0	2	0	TRUE	TRUE	1	"15_a"	"right"	"15_b"	"left"	3515	400	3915	400	3515	0.897828863346105	"left"	"novel"
"21"	"W"	"279"	10	"Con4"	"NLOB"	"NSOC"	"D1b"	6153	2550	0.559363636363636	2463	3147	5610	2830	3945	0	3945	0.641150658215505	3945	0	3945	0.641150658215505	1931	0.671375085091899	0.313830651714611	1	0	1	1	0	1	0	0	0	1	0	0	0	0	2463	0	2463	1	0	0	0	0	2463	0	2463	0.43903743315508	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	549	0	549	0.193992932862191	1931	0.682332155477032	0.221370967741935	0	0	0	1	0	TRUE	TRUE	1	"11_a"	"right"	"11_b"	"left"	2298	0	2298	0	2298	1	"left"	"novel"
