"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"10"	"M"	"299"	1	"Con1"	"LOB"	"SOC"	"D1a"	9886	7199	0.898727272727273	2715	7111	9826	7065	1897	5830	7727	0.781610358082136	1714	5647	7361	0.744588306696338	1682	0.813999778834458	0.170139591341291	3	4	7	3	4	7	0	0	0	1	0	1	3	4	882	1833	2715	1	217	766	983	0.138236534945859	1099	2599	3698	0.376348463260737	0	0	0	0	0	0	1	1	2	3	1	1	2	5	1	1	2	0	1	1	3	967	3400	4367	0.618117480537863	1682	0.238075017692852	0.721937510332286	0	0	0	1	0	TRUE	TRUE	1	"1_a"	"right"	"1_b"	"left"	4131	2248	6379	2248	4131	0.647593666718921	"left"	"novel"
"10"	"M"	"299"	2	"Con2"	"LOB"	"NSOC"	"D2a"	9170	6130	0.833636363636364	2730	7146	9876	5880	3515	3482	6997	0.763031624863686	3249	3249	6498	0.708615049073064	1399	0.822844118019501	0.152562704471101	2	3	5	2	3	5	0	0	0	2	0	0	2	2	2265	332	2597	0.951282051282051	933	0	933	0.13056255247691	3198	332	3530	0.357432158768732	0	0	0	0	0	0	1	1	2	3	1	0	1	4	0	1	1	0	0	0	1	1716	1633	3349	0.569557823129252	1399	0.237925170068027	0.705349620893008	0	0	0	2	0	TRUE	TRUE	1	"7_a"	"left"	"7_b"	"right"	2899	2015	4914	2899	2015	0.41005291005291	"right"	"novel"
"10"	"M"	"299"	3	"Con3"	"NLOB"	"SOC"	"D1b"	9786	7662	0.889636363636364	2697	9562	12259	8244	1548	6875	8423	0.860719395054159	1282	6692	7974	0.814837522992029	916	0.896962879640045	0.093603106478643	2	4	6	2	4	6	0	1	1	2	0.5	1	2	3	832	1066	1898	0.703744901742677	0	2232	2232	0.233423969880778	832	3298	4130	0.336895342197569	350	0.129773822766036	0	0	350	0.0285504527286076	0.921875	1	2	3	0	1	1	4	0	1	1	0	0	0	1	450	7144	7594	0.921154779233382	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"11_a"	"left"	"11_b"	"right"	4429	1633	6062	4429	1633	0.269383041900363	"left"	"familiar"
"10"	"M"	"299"	4	"Con4"	"NLOB"	"NSOC"	"D2b"	8772	5687	0.797454545454545	2847	6747	9594	5146	278	7695	7973	0.90891472868217	278	7695	7973	0.90891472868217	0	1	0	1	2	3	1	2	3	0	0	0	0	NA	0	1	1	0	2847	2847	1	300	550	850	0.125981917889432	300	3397	3697	0.385345007296227	0	0	0	0	0	0	1	0	1	1	1	1	2	3	0	0	0	0	1	1	1	300	4347	4647	0.903031480761757	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"16_a"	"right"	"16_b"	"left"	3314	1851	5165	1851	3314	0.64162633107454	"left"	"novel"
"10"	"M"	"299"	5	"Con4"	"NLOB"	"NSOC"	"D2b"	6459	6039	0.587181818181818	2348	6212	8560	3263	1916	3413	5329	0.825050317386592	1733	3413	5146	0.796717758166899	682	0.882978723404255	0.10558910047995	2	2	4	2	2	4	0	0	0	1	0	0	1	1	1516	516	2032	0.86541737649063	0	0	0	0	1516	516	2032	0.237383177570093	316	0.13458262350937	0	0	316	0.0369158878504673	0.86541737649063	1	1	2	0	0	0	2	0	1	1	0	0	0	1	500	1582	2082	0.638063132087036	682	0.209010113392584	0.753256150506512	0	0	0	1	0	TRUE	TRUE	1	"13_a"	"left"	"13_b"	"right"	2730	2632	5362	2730	2632	0.490861618798956	"left"	"familiar"
"10"	"M"	"299"	6	"Con2"	"LOB"	"NSOC"	"D2a"	7896	4707	0.717818181818182	2747	4148	6895	4347	4210	3230	7440	0.942249240121581	4210	3230	7440	0.942249240121581	0	1	0	3	3	6	3	3	6	0	0	0	0	NA	2	3	5	2581	166	2747	1	684	117	801	0.193105110896818	3265	283	3548	0.514575779550399	0	0	0	0	0	0	1	1	1	2	1	1	2	4	0	1	1	0	1	1	2	2599	1681	4280	0.984587071543593	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"8_a"	"right"	"8_b"	"left"	2599	1216	3815	1216	2599	0.681258191349934	"left"	"novel"
"10"	"M"	"299"	7	"Con3"	"NLOB"	"SOC"	"D1b"	10147	8427	0.922454545454545	2665	10045	12710	8528	3248	5928	9176	0.904306691632995	2198	5795	7993	0.787720508524687	350	0.958048663550282	0.0344929535823396	2	3	5	2	3	5	0	0	0	1	0	0	1	1	1482	0	1482	0.55609756097561	0	2249	2249	0.223892483822797	1482	2249	3731	0.293548387096774	0	0	0	0	0	0	1	2	1	3	0	1	1	4	0	0	0	0	0	0	0	715	6414	7129	0.835952157598499	350	0.0410412757973734	0.953202299772697	0	0	0	1	0	TRUE	TRUE	1	"10_a"	"left"	"10_b"	"right"	999	6297	7296	999	6297	0.863075657894737	"right"	"novel"
"10"	"M"	"299"	8	"Con1"	"LOB"	"SOC"	"D1a"	7186	3836	0.653272727272727	2615	3863	6478	3914	1500	4038	5538	0.770665182298915	1500	3714	5214	0.725577511828556	1298	0.800675675675676	0.180629000834957	2	3	5	2	3	5	1	1	2	2	1	1	2	3	67	1849	1916	0.732695984703633	0	0	0	0	67	1849	1916	0.295770299475147	516	0.197323135755258	0	0	516	0.0796542142636616	0.787828947368421	1	2	3	0	0	0	3	1	0	1	0	0	0	1	617	2132	2749	0.702350536535513	782	0.199795605518651	0.778532993486264	1	0	1	1	1	TRUE	TRUE	1	"4_a"	"right"	"4_b"	"left"	1165	2149	3314	2149	1165	0.351538925769463	"right"	"familiar"
"10"	"M"	"299"	9	"Con1"	"LOB"	"SOC"	"D1a"	7115	5774	0.646818181818182	2547	6880	9427	5279	1332	5427	6759	0.949964862965566	916	5427	6343	0.891496837666901	0	1	0	2	3	5	2	3	5	0	0	0	0	NA	2	0	2	466	1848	2314	0.908519827247742	0	1449	1449	0.210610465116279	466	3297	3763	0.399172589370956	0	0	0	0	0	0	1	1	2	3	0	1	1	4	1	0	1	0	0	0	1	450	4213	4663	0.883311233188104	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"3_a"	"left"	"3_b"	"right"	2631	1767	4398	2631	1767	0.401773533424284	"right"	"novel"
"10"	"M"	"299"	10	"Con3"	"NLOB"	"SOC"	"D1b"	6547	4334	0.595181818181818	2400	6544	8944	4782	3150	2577	5727	0.874751794715137	3150	2510	5660	0.864518099893081	450	0.926350245499182	0.0687337711929128	2	3	5	2	3	5	1	0	1	1	1	1	2	3	1967	433	2400	1	217	1865	2082	0.318154034229829	2184	2298	4482	0.501118067978533	0	0	0	0	0	0	1	1	1	2	1	1	2	4	0	1	1	1	0	1	2	1767	2498	4265	0.891886240066918	450	0.0941028858218319	0.904559915164369	1	0	1	1	1	TRUE	TRUE	1	"12_a"	"right"	"12_b"	"left"	0	3513	3513	3513	0	0	"right"	"familiar"
