"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"34"	"W"	"304"	1	"Con1"	"LOB"	"SOC"	"D2b"	9167	8294	0.833363636363636	2499	8459	10958	6145	4764	3623	8387	0.914912185011454	4764	3490	8254	0.900403621686484	416	0.9520184544406	0.0453801679938911	3	3	6	3	3	6	0	0	0	1	0	2	2	4	883	1616	2499	1	0	1066	1066	0.126019624069039	883	2682	3565	0.325333089979923	0	0	0	0	0	0	1	1	2	3	0	1	1	4	1	1	2	0	0	0	2	3331	2215	5546	0.902522375915378	416	0.0676973148901546	0.930224756793023	0	0	0	1	0	TRUE	TRUE	1	"1_b"	"right"	"1_a"	"left"	5713	2231	7944	2231	5713	0.719159113796576	"left"	"novel"
"34"	"W"	"304"	2	"Con4"	"NLOB"	"NSOC"	"D1b"	9449	8107	0.859	2749	8694	11443	6844	2882	2412	5294	0.560270928140544	2882	2412	5294	0.560270928140544	3314	0.615009293680297	0.350724944438565	3	2	5	3	2	5	1	0	1	3	0.333333333333333	1	1	2	1949	333	2282	0.830120043652237	0	1332	1332	0.153209109730849	1949	1665	3614	0.315826269334965	467	0.169879956347763	0	0	467	0.0408109761426199	0.885567262925753	1	1	2	0	1	1	3	0	1	1	0	0	0	1	816	1699	2515	0.367475160724722	3314	0.484219754529515	0.431463372791216	1	0	1	3	0.333333333333333	TRUE	TRUE	1	"5_b"	"right"	"5_a"	"left"	4581	3043	7624	3043	4581	0.600865687303253	"left"	"novel"
"34"	"W"	"304"	3	"Con3"	"NLOB"	"SOC"	"D2a"	10415	7775	0.946818181818182	2914	8127	11041	7709	650	7761	8411	0.807585213634181	650	7761	8411	0.807585213634181	1536	0.845581582386649	0.147479596735478	1	2	3	1	2	3	0	1	1	1	1	1	1	2	0	2914	2914	1	0	0	0	0	0	2914	2914	0.263925369078888	0	0	1431	0.176079734219269	1431	0.129607825378136	0.670655926352129	0	1	1	0	0	0	1	0	0	0	0	0	0	0	650	4363	5013	0.650278894798288	2064	0.267739006356207	0.708350996184824	0	1	1	1	1	TRUE	TRUE	1	"9_b"	"left"	"9_a"	"right"	4156	3214	7370	4156	3214	0.436092265943012	"left"	"familiar"
"34"	"W"	"304"	4	"Con2"	"LOB"	"NSOC"	"D1a"	10482	4484	0.952909090909091	2731	4866	7597	7046	8114	1999	10113	0.964796794504865	8114	1999	10113	0.964796794504865	0	1	0	1	1	2	1	1	2	0	0	0	0	NA	0	1	1	2282	449	2731	1	950	0	950	0.195232223592273	3232	449	3681	0.484533368434909	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	1	1	0	0	0	1	6896	0	6896	0.978711325574794	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"13_b"	"left"	"13_a"	"right"	976	2949	3925	976	2949	0.751337579617834	"left"	"familiar"
"34"	"W"	"304"	5	"Con4"	"NLOB"	"NSOC"	"D1b"	10624	8779	0.965818181818182	4880	8430	13310	7146	456	2790	3246	0.305534638554217	0	2790	2790	0.262612951807229	7378	0.274390243902439	0.694465361445783	0	2	2	0	2	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1300	1300	0.154211150652432	0	1300	1300	0.0976709241172051	4880	1	0	0	4880	0.36664162283997	0.210355987055016	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2632	2632	0.368317940106353	4514	0.631682059893647	0.368317940106353	0	0	0	1	0	TRUE	TRUE	1	"6_b"	"left"	"6_a"	"right"	4065	4215	8280	4065	4215	0.509057971014493	"left"	"familiar"
"34"	"W"	"304"	6	"Con1"	"LOB"	"SOC"	"D2b"	10335	6580	0.939545454545455	2566	8246	10812	7495	517	1583	2100	0.203193033381713	517	1583	2100	0.203193033381713	7766	0.212852219744577	0.751427189163038	1	1	2	1	1	2	1	1	2	2	1	0	0	0	517	150	667	0.259937646141855	0	0	0	0	517	150	667	0.0616907140214576	1899	0.740062353858145	1666	0.202037351443124	3565	0.329726230114687	0.157608695652174	1	1	2	0	0	0	2	0	0	0	0	0	0	0	83	0	83	0.0110740493662442	7412	0.988925950633756	0.0110740493662442	1	0	1	1	1	TRUE	TRUE	1	"2_b"	"right"	"2_a"	"left"	5730	700	6430	700	5730	0.891135303265941	"right"	"familiar"
"34"	"W"	"304"	7	"Con3"	"NLOB"	"SOC"	"D2a"	2847	5016	0.258818181818182	1182	3365	4547	233	2098	233	2331	0.818756585879874	2098	233	2331	0.818756585879874	778	0.749758764876166	0.273270108886547	1	1	2	1	1	2	1	1	2	2	1	0	0	0	666	0	666	0.563451776649746	0	233	233	0.0692421991084695	666	233	899	0.197712777655597	516	0.436548223350254	749	0.22258543833581	1265	0.278205410160545	0.41543438077634	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	233	233	1	749	3.21459227467811	0.237270875763747	0	1	1	1	1	TRUE	TRUE	1	"10_b"	"left"	"10_a"	"right"	2685	783	3468	2685	783	0.225778546712803	"left"	"familiar"
"34"	"W"	"304"	8	"Con2"	"LOB"	"NSOC"	"D1a"	0	583	0	0	583	583	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	0	NA	FALSE	FALSE	0	"14_b"	"right"	"14_a"	"left"	500	0	500	0	500	1	"left"	"novel"
"34"	"W"	"304"	9	"Con1"	"LOB"	"SOC"	"D2b"	1665	567	0.151363636363636	1265	567	1832	100	0	1665	1665	1	0	1665	1665	1	0	1	0	0	1	1	0	1	1	0	0	0	0	NA	0	0	0	0	1265	1265	1	0	0	0	0	0	1265	1265	0.690502183406114	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	100	100	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"3_b"	"left"	"3_a"	"right"	0	400	400	0	400	1	"right"	"novel"
"34"	"W"	"304"	10	"Con2"	"LOB"	"NSOC"	"D1a"	4882	5446	0.443818181818182	1300	6129	7429	2999	3282	1600	4882	1	3115	1600	4715	0.965792707906596	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	1	1	2	0	1300	1300	1	683	0	683	0.111437428618045	683	1300	1983	0.266926908062996	0	0	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	0	0	0	0	2649	350	2999	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"15_b"	"left"	"15_a"	"right"	1948	3398	5346	1948	3398	0.635615413393191	"left"	"familiar"
